JPM,95,10
F,5.17,200
JPM,90.56,11
DIS,92.5,15
DAL,34.57,17
AXP,84.15,12
V,146.97,6
DIS,98.15,10
DAL,30.09,35
AXP,87.8,12
AAPL,255.63,5
GS,158.13,10
VTI,130.42,9
DAL,25.22,10
JPM,84.98,7
V,155.91,4
F,4.74,8
DAL,23.77,38
AXP,82.39,15
SBUX,70.86,1
SBUX,70.93,11
